2026/08/29 23:17:25.685, 2515 MHz, 50, 14.87 W, 0 %
2026/08/29 23:17:30.686, 2515 MHz, 50, 14.89 W, 0 %
2026/08/29 23:17:35.686, 2515 MHz, 50, 14.88 W, 0 %
2026/08/29 23:17:40.687, 2515 MHz, 50, 14.94 W, 0 %
2026/08/29 23:17:45.688, 2515 MHz, 50, 14.95 W, 0 %
2026/08/29 23:17:50.688, 2515 MHz, 50, 14.91 W, 0 %
2026/08/29 23:17:55.689, 2515 MHz, 50, 14.90 W, 0 %
2026/08/29 23:18:00.690, 2515 MHz, 50, 14.92 W, 0 %
2026/08/29 23:18:05.691, 2515 MHz, 50, 14.81 W, 0 %
2026/08/29 23:18:10.692, 2515 MHz, 50, 14.81 W, 0 %
2026/08/29 23:18:15.693, 2515 MHz, 50, 14.78 W, 0 %
2026/08/29 23:18:20.694, 2515 MHz, 50, 14.90 W, 0 %
2026/08/29 23:18:25.696, 2515 MHz, 50, 14.86 W, 0 %
2026/08/29 23:18:30.697, 2515 MHz, 50, 14.80 W, 0 %
2026/08/29 23:18:35.697, 2515 MHz, 50, 14.83 W, 0 %
2026/08/29 23:18:40.698, 2515 MHz, 50, 14.78 W, 0 %
2026/08/29 23:18:45.700, 2515 MHz, 50, 14.80 W, 0 %
2026/08/29 23:18:50.702, 2515 MHz, 50, 14.90 W, 0 %
2026/08/29 23:18:55.702, 2515 MHz, 50, 14.93 W, 0 %
2026/08/29 23:19:00.704, 2515 MHz, 50, 14.87 W, 0 %
2026/08/29 23:19:05.705, 2515 MHz, 50, 14.82 W, 0 %
2026/08/29 23:19:10.706, 2515 MHz, 50, 14.81 W, 0 %
2026/08/29 23:19:15.706, 2515 MHz, 50, 14.79 W, 0 %
2026/08/29 23:19:20.708, 2515 MHz, 50, 14.84 W, 0 %
2026/08/29 23:19:25.709, 2515 MHz, 50, 14.92 W, 0 %
2026/08/29 23:19:30.710, 2515 MHz, 50, 14.93 W, 0 %
2026/08/29 23:19:35.711, 2515 MHz, 50, 14.99 W, 0 %
2026/08/29 23:19:40.713, 2515 MHz, 50, 14.93 W, 0 %
2026/08/29 23:19:45.713, 2515 MHz, 50, 14.96 W, 0 %
2026/08/29 23:19:50.714, 2515 MHz, 50, 14.94 W, 0 %
2026/08/29 23:19:55.714, 2515 MHz, 50, 14.94 W, 0 %
2026/08/29 23:20:00.716, 2515 MHz, 50, 14.95 W, 0 %
2026/08/29 23:20:05.717, 2515 MHz, 50, 14.98 W, 0 %
2026/08/29 23:20:10.717, 2515 MHz, 50, 14.92 W, 0 %
2026/08/29 23:20:15.718, 2515 MHz, 50, 14.95 W, 0 %
2026/08/29 23:20:20.719, 2515 MHz, 50, 14.90 W, 0 %
2026/08/29 23:20:25.720, 2515 MHz, 50, 14.95 W, 0 %
2026/08/29 23:20:30.721, 2515 MHz, 50, 14.94 W, 0 %
2026/08/29 23:20:35.722, 2515 MHz, 50, 14.95 W, 0 %
2026/08/29 23:20:40.724, 2515 MHz, 50, 14.97 W, 0 %
2026/08/29 23:20:45.726, 2515 MHz, 50, 14.92 W, 0 %
2026/08/29 23:20:50.727, 2515 MHz, 50, 14.97 W, 0 %
2026/08/29 23:20:55.728, 2515 MHz, 50, 14.99 W, 0 %
2026/08/29 23:21:00.730, 2515 MHz, 50, 14.98 W, 0 %
2026/08/29 23:21:05.731, 2515 MHz, 50, 14.88 W, 0 %
2026/08/29 23:21:10.732, 2515 MHz, 50, 14.95 W, 0 %
2026/08/29 23:21:15.734, 2515 MHz, 50, 14.95 W, 0 %
2026/08/29 23:21:20.734, 2515 MHz, 50, 14.93 W, 0 %
2026/08/29 23:21:25.735, 2515 MHz, 50, 14.99 W, 0 %
2026/08/29 23:21:30.737, 2515 MHz, 50, 15.00 W, 0 %
2026/08/29 23:21:35.738, 2515 MHz, 50, 15.01 W, 0 %
2026/08/29 23:21:40.739, 2515 MHz, 50, 15.06 W, 0 %
2026/08/29 23:21:45.740, 2515 MHz, 50, 14.94 W, 0 %
2026/08/29 23:21:50.742, 2515 MHz, 50, 14.99 W, 0 %
2026/08/29 23:21:55.742, 2515 MHz, 50, 14.92 W, 0 %
2026/08/29 23:22:00.744, 2515 MHz, 50, 14.87 W, 0 %
2026/08/29 23:22:05.745, 2515 MHz, 50, 14.91 W, 0 %
2026/08/29 23:22:10.747, 2515 MHz, 50, 14.89 W, 0 %
2026/08/29 23:22:15.748, 2515 MHz, 50, 14.87 W, 0 %
2026/08/29 23:22:20.749, 2515 MHz, 50, 14.95 W, 0 %
2026/08/29 23:22:25.749, 2515 MHz, 50, 14.90 W, 0 %
2026/08/29 23:22:30.750, 2515 MHz, 50, 15.03 W, 0 %
2026/08/29 23:22:35.752, 2515 MHz, 50, 14.94 W, 0 %
2026/08/29 23:22:40.753, 2515 MHz, 50, 15.00 W, 0 %
2026/08/29 23:22:45.755, 2515 MHz, 50, 14.98 W, 0 %
2026/08/29 23:22:50.755, 2515 MHz, 50, 15.03 W, 0 %
2026/08/29 23:22:55.756, 2515 MHz, 50, 14.97 W, 0 %
2026/08/29 23:23:00.757, 2515 MHz, 50, 14.94 W, 0 %
2026/08/29 23:23:05.759, 2515 MHz, 50, 14.90 W, 0 %
2026/08/29 23:23:10.761, 2515 MHz, 50, 14.88 W, 0 %
2026/08/29 23:23:15.762, 2515 MHz, 50, 14.89 W, 0 %
2026/08/29 23:23:20.763, 2515 MHz, 50, 14.89 W, 0 %
2026/08/29 23:23:25.765, 2515 MHz, 50, 14.98 W, 0 %
2026/08/29 23:23:30.765, 2515 MHz, 50, 14.90 W, 0 %
2026/08/29 23:23:35.766, 2515 MHz, 50, 14.89 W, 0 %
2026/08/29 23:23:40.767, 2515 MHz, 50, 14.98 W, 0 %
2026/08/29 23:23:45.769, 2515 MHz, 50, 15.00 W, 0 %
2026/08/29 23:23:50.770, 2515 MHz, 50, 14.93 W, 0 %
2026/08/29 23:23:55.772, 2515 MHz, 50, 14.93 W, 0 %
2026/08/29 23:24:00.772, 2515 MHz, 50, 15.00 W, 0 %
2026/08/29 23:24:05.773, 2515 MHz, 50, 14.94 W, 0 %
2026/08/29 23:24:10.774, 2515 MHz, 50, 14.88 W, 0 %
2026/08/29 23:24:15.775, 2515 MHz, 50, 14.93 W, 0 %
2026/08/29 23:24:20.776, 2515 MHz, 50, 14.89 W, 0 %
2026/08/29 23:24:25.777, 2515 MHz, 50, 14.94 W, 0 %
2026/08/29 23:24:30.778, 2515 MHz, 50, 14.94 W, 0 %
2026/08/29 23:24:35.780, 2515 MHz, 50, 14.86 W, 0 %
2026/08/29 23:24:40.781, 2515 MHz, 50, 14.91 W, 0 %
2026/08/29 23:24:45.781, 2515 MHz, 50, 15.03 W, 0 %
2026/08/29 23:24:50.783, 2515 MHz, 50, 14.91 W, 0 %
2026/08/29 23:24:55.783, 2515 MHz, 50, 14.88 W, 0 %
2026/08/29 23:25:00.784, 2515 MHz, 50, 14.85 W, 0 %
2026/08/29 23:25:05.786, 2515 MHz, 50, 14.85 W, 0 %
2026/08/29 23:25:10.787, 2515 MHz, 50, 14.89 W, 0 %
2026/08/29 23:25:15.788, 2515 MHz, 50, 14.87 W, 0 %
2026/08/29 23:25:20.789, 2515 MHz, 50, 14.94 W, 0 %
2026/08/29 23:25:25.790, 2515 MHz, 50, 14.93 W, 0 %
2026/08/29 23:25:30.791, 2515 MHz, 50, 14.93 W, 0 %
2026/08/29 23:25:35.793, 2515 MHz, 50, 14.97 W, 0 %
2026/08/29 23:25:40.793, 2515 MHz, 50, 14.99 W, 0 %
2026/08/29 23:25:45.794, 2515 MHz, 50, 14.90 W, 0 %
2026/08/29 23:25:50.796, 2515 MHz, 50, 14.93 W, 0 %
2026/08/29 23:25:55.797, 2515 MHz, 50, 14.90 W, 0 %
2026/08/29 23:26:00.798, 2515 MHz, 50, 14.94 W, 0 %
2026/08/29 23:26:05.798, 2515 MHz, 50, 14.87 W, 0 %
2026/08/29 23:26:10.799, 2515 MHz, 50, 14.81 W, 0 %
2026/08/29 23:26:15.800, 2515 MHz, 50, 14.96 W, 0 %
2026/08/29 23:26:20.801, 2515 MHz, 50, 14.89 W, 0 %
2026/08/29 23:26:25.802, 2515 MHz, 50, 14.89 W, 0 %
2026/08/29 23:26:30.803, 2515 MHz, 50, 14.84 W, 0 %
2026/08/29 23:26:35.805, 2515 MHz, 50, 14.84 W, 0 %
2026/08/29 23:26:40.805, 2515 MHz, 50, 14.88 W, 0 %
2026/08/29 23:26:45.807, 2515 MHz, 50, 14.82 W, 0 %
2026/08/29 23:26:50.808, 2515 MHz, 51, 14.84 W, 0 %
2026/08/29 23:26:55.810, 2515 MHz, 50, 14.88 W, 0 %
2026/08/29 23:27:00.811, 2515 MHz, 51, 14.90 W, 0 %
2026/08/29 23:27:05.812, 2515 MHz, 50, 14.89 W, 0 %
2026/08/29 23:27:10.812, 2515 MHz, 51, 14.92 W, 0 %
2026/08/29 23:27:15.813, 2515 MHz, 51, 14.96 W, 0 %
2026/08/29 23:27:20.815, 2515 MHz, 50, 14.82 W, 0 %
2026/08/29 23:27:25.816, 2515 MHz, 50, 14.83 W, 0 %
2026/08/29 23:27:30.817, 2515 MHz, 51, 14.84 W, 0 %
2026/08/29 23:27:35.818, 2515 MHz, 51, 14.84 W, 0 %
2026/08/29 23:27:40.819, 2515 MHz, 51, 14.87 W, 0 %
2026/08/29 23:27:45.820, 2515 MHz, 51, 14.89 W, 0 %
2026/08/29 23:27:50.822, 2515 MHz, 51, 14.77 W, 0 %
2026/08/29 23:27:55.824, 2515 MHz, 50, 14.83 W, 0 %
2026/08/29 23:28:00.825, 2515 MHz, 51, 14.86 W, 0 %
2026/08/29 23:28:05.825, 2515 MHz, 51, 14.92 W, 0 %
2026/08/29 23:28:10.826, 2515 MHz, 51, 14.91 W, 0 %
2026/08/29 23:28:15.827, 2515 MHz, 51, 14.89 W, 0 %
2026/08/29 23:28:20.828, 2515 MHz, 51, 14.81 W, 0 %
2026/08/29 23:28:25.830, 2515 MHz, 51, 14.82 W, 0 %
2026/08/29 23:28:30.831, 2515 MHz, 51, 14.84 W, 0 %
2026/08/29 23:28:35.832, 2515 MHz, 51, 14.89 W, 0 %
2026/08/29 23:28:40.834, 2515 MHz, 51, 14.85 W, 0 %
2026/08/29 23:28:45.834, 2515 MHz, 51, 14.85 W, 0 %
2026/08/29 23:28:50.835, 2515 MHz, 51, 14.81 W, 0 %
2026/08/29 23:28:55.837, 2515 MHz, 51, 14.85 W, 0 %
2026/08/29 23:29:00.838, 2515 MHz, 51, 14.79 W, 0 %
2026/08/29 23:29:05.839, 2515 MHz, 51, 14.86 W, 0 %
2026/08/29 23:29:10.840, 2515 MHz, 51, 14.86 W, 0 %
2026/08/29 23:29:15.841, 2515 MHz, 51, 14.82 W, 0 %
2026/08/29 23:29:20.842, 2515 MHz, 51, 14.82 W, 0 %
2026/08/29 23:29:25.844, 2515 MHz, 51, 14.91 W, 0 %
2026/08/29 23:29:30.845, 2515 MHz, 51, 14.85 W, 0 %
2026/08/29 23:29:35.846, 2515 MHz, 51, 14.93 W, 0 %
2026/08/29 23:29:40.847, 2515 MHz, 51, 14.85 W, 0 %
